ciudad,nombre,prioridad,lugar_busqueda,tipo,precio,notas
Londres,British Museum,Quiero ir,"British Museum, London, UK",Museo,Gratis,Piedra Rosetta
Londres,Natural History Museum,Quiero ir,"Natural History Museum, London, UK",Museo,Gratis,Ballena azul
Londres,Victoria & Albert Museum,Solo mapeado,"Victoria and Albert Museum, London, UK",Museo,Gratis,Artes decorativas y diseño
Londres,Tate Modern,Solo mapeado,"Tate Modern, London, UK",Museo,Gratis,Arte contemporáneo; terraza con vistas al Támesis
Londres,National Gallery,Solo mapeado,"National Gallery, London, UK",Museo,Gratis,Arte europeo s.XIII-XIX; Trafalgar Square
Londres,National Portrait Gallery,Solo mapeado,"National Portrait Gallery, London, UK",Museo,Gratis,Retratos británicos; recién renovada
Londres,Science Museum,Solo mapeado,"Science Museum, London, UK",Museo,Gratis,Aviación
Londres,Imperial War Museum,Solo mapeado,"Imperial War Museum, London, UK",Museo,Gratis,Conflictos mundiales; Holocaust Gallery
Londres,Churchill War Rooms,Solo mapeado,"Churchill War Rooms, London, UK",Museo,£34,Búnker subterráneo de la WWII
Londres,Sir John Soane's Museum,Solo mapeado,"Sir John Soane's Museum, London, UK",Museo,Gratis,Casa-museo ecléctica; reserva recomendada
Londres,Museum of London Docklands,Solo mapeado,"Museum of London Docklands, UK",Museo,Gratis,Historia portuaria; almacén de 1800
Londres,The Courtauld Gallery,Solo mapeado,"Courtauld Gallery, London, UK",Museo,,Impresionistas en Somerset House
Londres,Westminster Abbey,Solo mapeado,"Westminster Abbey, London, UK",Iglesia,£31,Coronaciones reales; tumbas de Newton y Darwin
Londres,St Paul's Cathedral,Solo mapeado,"St Paul's Cathedral, London, UK",Iglesia,£27,Cúpula de Wren; Whispering Gallery
Londres,Southwark Cathedral,Solo mapeado,"Southwark Cathedral, London, UK",Iglesia,Gratis,Gótica s.XII en South Bank; poco turística
Londres,Temple Church,Solo mapeado,"Temple Church, London, UK",Iglesia,Gratis/donativo,Iglesia circular de los Templarios s.XII
Londres,St Bride's Church,Solo mapeado,"St Bride's Church, Fleet Street, London, UK",Iglesia,Gratis,La iglesia de los periodistas; diseño de Wren
Londres,Tower of London,Quiero ir,"Tower of London, UK",Sitio histórico,£37,Joyas de la Corona
Londres,Tower Bridge,Solo mapeado,"Tower Bridge, London, UK",Sitio histórico,£14,Pasarela de cristal con vistas al Támesis
Londres,Big Ben y Palacio de Westminster,Quiero ir,"Big Ben, London, UK",Sitio histórico,Gratis exterior,Vista clásica desde Westminster Bridge
Londres,Buckingham Palace,Quizás,"Buckingham Palace, London, UK",Sitio histórico,~£32 interior,Cambio de guardia 11am días alternos
Londres,Kensington Palace,Quizás,"Kensington Palace, London, UK",Sitio histórico,~£27,Residencia real; exposiciones de Diana
Londres,Cutty Sark,Solo mapeado,"Cutty Sark, Greenwich, London, UK",Sitio histórico,£20,Último clipper de té victoriano
Londres,Greenwich Observatory,Solo mapeado,"Royal Observatory Greenwich, UK",Sitio histórico,£18,Meridiano 0; museo marítimo
Londres,Monument to the Great Fire,Solo mapeado,"Monument to the Great Fire of London, UK",Sitio histórico,£6,Columna de 62m del incendio de 1666
Londres,Trafalgar Square,Solo mapeado,"Trafalgar Square, London, UK",Plaza,Gratis,Columna de Nelson; entrada a National Gallery
Londres,Piccadilly Circus,Quiero ir,"Piccadilly Circus, London, UK",Plaza,Gratis,El cruce con pantallas LED; combinar con Soho
Londres,Covent Garden,Quiero ir,"Covent Garden, London, UK",Barrio,Gratis,Antigua lonja; artistas callejeros
Londres,Hampton Court Palace,Solo mapeado,"Hampton Court Palace, UK",Sitio histórico,£32,Palacio Tudor de Enrique VIII; día completo
Londres,Sky Garden,Quizás,"Sky Garden, London, UK",Mirador,Gratis,Jardín piso 35; vistas 360; reserva obligatoria
Londres,Horizon 22,Solo mapeado,"Horizon 22, 22 Bishopsgate, London, UK",Mirador,Gratis,Mirador gratuito más alto de Londres (piso 58)
Londres,The Shard,Solo mapeado,"The Shard, London, UK",Mirador,£25+,Edificio más alto de UK; mejor al atardecer
Londres,London Eye,Solo mapeado,"London Eye, UK",Mirador,£29+,Noria icónica frente al Parlamento
Londres,Hyde Park,Quiero ir,"Hyde Park, London, UK",Parque,Gratis,Lago Serpentine
Londres,Kensington Gardens,Quiero ir,"Kensington Gardens, London, UK",Parque,Gratis,Jardines del Palacio; lindantes con Hyde Park
Londres,Regent's Park,Quiero ir,"Regent's Park, London, UK",Parque,Gratis,Jardines de rosas
Londres,St James's Park,Quiero ir,"St James's Park, London, UK",Parque,Gratis,El parque real más elegante; vistas a Buckingham
Londres,Hampstead Heath,Solo mapeado,"Hampstead Heath, London, UK",Parque,Gratis,Bosque urbano; piscinas naturales; Parliament Hill
Londres,Primrose Hill,Quiero ir,"Primrose Hill, London, UK",Parque,Gratis,Mejores vistas del skyline; barrio bohemio
Londres,Greenwich Park,Solo mapeado,"Greenwich Park, London, UK",Parque,Gratis,Colinas con vistas; Observatorio Real
Londres,Richmond Park,Quizás,"Richmond Park, London, UK",Parque,Gratis,Reserva real más grande; ciervos en libertad
Londres,Victoria Park,Quizás,"Victoria Park, London, UK",Parque,Gratis,El parque del East End; sin turistas
Londres,Victoria Embankment Gardens,Solo mapeado,"Victoria Embankment Gardens, London, UK",Parque,Gratis,Jardines junto al Támesis; pausa en Westminster
Londres,Borough Market,Quiero ir,"Borough Market, London, UK",Mercado,,Gourmet bajo viaducto; ir antes de 11am (L-S)
Londres,Portobello Road Market,Quizás,"Portobello Road Market, London, UK",Mercado,,Antigüedades y vintage en Notting Hill; mejor sábado
Londres,Brick Lane Market,Solo mapeado,"Brick Lane Market, London, UK",Mercado,,Ropa
Londres,Columbia Road Flower Market,Solo mapeado,"Columbia Road Flower Market, London, UK",Mercado,,Mercado de flores; solo domingos AM
Londres,Broadway Market,Solo mapeado,"Broadway Market, Hackney, London, UK",Mercado,,Mercado de barrio; mejor sábado; el más local
Londres,Camden Market,Quizás,"Camden Market, London, UK",Mercado,,Alternativo enorme; más animado el finde
Londres,Spitalfields Market,Quizás,"Old Spitalfields Market, London, UK",Mercado,,Cubierto victoriano; jueves antigüedades
Londres,Leadenhall Market,Solo mapeado,"Leadenhall Market, London, UK",Mercado,,Victoriano espectacular; escenas de Harry Potter
Londres,Maltby Street Market,Quiero ir,"Maltby Street Market, London, UK",Mercado,,Pequeño y auténtico en Bermondsey; finde
Londres,Book Market South Bank,Quizás,"Southbank Centre Book Market, London, UK",Mercado,,Libros de segunda mano bajo Waterloo Bridge
Londres,Shakespeare's Globe,Solo mapeado,"Shakespeare's Globe, London, UK",Teatro,£5+,Réplica del teatro isabelino; el de Hamnet
Londres,Royal Albert Hall,Quiero ir,"Royal Albert Hall, London, UK",Música,£8+,BBC Proms toda la estadía
Londres,Harry Potter Studio Tour,Quiero ir,"Warner Bros Studio Tour London, Leavesden, UK",Experiencia,£58.50,Sets reales de las 8 películas; reservar
Londres,South Bank,Quiero ir,"South Bank, London, UK",Barrio,Gratis,Paseo frente al Támesis; Tate
Londres,Shoreditch / Brick Lane,Quiero ir,"Shoreditch, London, UK",Barrio,Gratis,Mural art
Londres,Notting Hill,Quiero ir,"Notting Hill, London, UK",Barrio,Gratis,Casas victorianas de colores; Portobello
Londres,Soho,Quiero ir,"Soho, London, UK",Barrio,Gratis,Teatros
Londres,Kensington / Chelsea,Quiero ir,"Kensington, London, UK",Barrio,Gratis,Zona de museos top; el barrio más bonito
Londres,Marylebone,Quizás,"Marylebone, London, UK",Barrio,Gratis,Residencial sofisticado; Marylebone High Street
Londres,Greenwich,Quizás,"Greenwich, London, UK",Barrio,Gratis,Pueblo con identidad; Meridiano 0; día completo
Londres,Camden,Quiero ir,"Camden Town, London, UK",Barrio,Gratis,Música en vivo
Londres,Islington / Angel,Quiero ir,"Angel, Islington, London, UK",Barrio,Gratis,Bohemio auténtico; Camden Passage antigüedades
Londres,Highgate Cemetery,Quizás,"Highgate Cemetery, London, UK",Cementerio,£6 (oeste),Tumbas de Marx y George Michael; pueblo encantador
Londres,King's Cross Station,Solo mapeado,"King's Cross Station, London, UK",Harry Potter,Gratis,Andén 9¾ con carrito oficial
Londres,Cecil Court,Solo mapeado,"Cecil Court, London, UK",Harry Potter,Gratis,Callejón de librerías; inspiración del Callejón Diagón
Londres,House of MinaLima,Solo mapeado,"House of MinaLima, London, UK",Harry Potter,Gratis entrar,Galería de los diseñadores gráficos de la saga
York,York Minster,Solo mapeado,"York Minster, York, UK",Catedral,£26,Catedral gótica más grande del norte de Europa; Central Tower
York,National Railway Museum,Quizás,"National Railway Museum, York, UK",Museo,Gratis,Colección de trenes más grande del mundo; Flying Scotsman
York,JORVIK Viking Centre,Quizás,"JORVIK Viking Centre, York, UK",Museo,£17.50,York vikinga en 975 AD; reservar slot online
York,York Castle Museum,Solo mapeado,"York Castle Museum, UK",Museo,~£10,Calles victorianas y georgianas recreadas
York,Yorkshire Museum,Quizás,"Yorkshire Museum, York, UK",Museo,~£10,Roma imperial a vikingos; Museum Gardens
York,Barley Hall,Solo mapeado,"Barley Hall, York, UK",Museo,~£7,Casa medieval s.XIV restaurada
York,York Chocolate Story,Solo mapeado,"York's Chocolate Story, UK",Museo,~£14,Historia del chocolate; cuna de Rowntree y Terry's
York,City Walls,Quiero ir,"York City Walls, UK",Sitio histórico,Gratis,3.4km de murallas romanas caminables; circuito ~2h
York,The Shambles,Quiero ir,"The Shambles, York, UK",Sitio histórico,Gratis,Calle medieval mejor conservada de Europa; ir antes de 9am
York,Clifford's Tower,Solo mapeado,"Clifford's Tower, York, UK",Sitio histórico,£5.90,Torre normanda s.XIII; vistas 360
York,Merchant Adventurers' Hall,Solo mapeado,"Merchant Adventurers' Hall, York, UK",Sitio histórico,~£7.50,Sala medieval de mercaderes s.XIV
York,Micklegate Bar,Solo mapeado,"Micklegate Bar, York, UK",Sitio histórico,~£5,Puerta medieval principal; pequeño museo
York,Shambles Market,Quiero ir,"Shambles Market, York, UK",Mercado,Gratis,Comida callejera y artesanía junto a The Shambles
York,Museum Gardens,Solo mapeado,"Museum Gardens, York, UK",Parque,Gratis,Ruinas de la Abadía de St Mary s.XII
York,Rowntree Park,Solo mapeado,"Rowntree Park, York, UK",Parque,Gratis,Parque junto al Ouse; sin turistas
York,Betty's Tea Room,Solo mapeado,"Bettys, St Helen's Square, York, UK",Café,£20-35,Institución de té desde 1919; cola habitual
York,Fossgate / Gillygate,Solo mapeado,"Fossgate, York, UK",Barrio,Gratis,Zona local; cafés
York,Micklegate,Solo mapeado,"Micklegate, York, UK",Barrio,Gratis,Calle más antigua; pubs históricos
Edimburgo,Edinburgh Castle,Quiero ir,"Edinburgh Castle, UK",Sitio histórico,£21.50,Honours of Scotland
Edimburgo,Real Mary King's Close,Quizás,"Real Mary King's Close, Edinburgh, UK",Sitio histórico,£35,Callejones subterráneos s.XVII; pre-booking obligatorio
Edimburgo,Palace of Holyroodhouse,Solo mapeado,"Palace of Holyroodhouse, Edinburgh, UK",Sitio histórico,£22,Residencia real; habitaciones de María Reina de Escocia
