ciudad,nombre,prioridad,lugar_busqueda,tipo,precio,notas
Friburgo,Freiburger Münster,Quizás,"Freiburger Münster, Freiburg",Catedral,Gratis (torre €5),Catedral gótica s.XIII; linterna calada única; Münstermarkt al pie
Friburgo,Altstadt + Bächle,Quiero ir,"Altstadt, Freiburg im Breisgau",Casco histórico,Gratis,Centro medieval; las acequias Bächle corren por las calles
Friburgo,Schlossberg,Quiero ir,"Schlossberg, Freiburg",Mirador,Gratis (funicular €3.50),Colina boscosa; mirador sobre la ciudad; ruinas del castillo
Friburgo,Martinstor,Quizás,"Martinstor, Freiburg",Sitio histórico,Gratis,Puerta medieval s.XIII con McDonalds en el arco
Friburgo,Schwabentor,Quizás,"Schwabentor, Freiburg",Sitio histórico,Gratis,La otra puerta medieval s.XIII que sobrevivió la WWII
Friburgo,Rathausplatz,Quizás,"Rathausplatz, Freiburg",Plaza,Gratis,Neues y Altes Rathaus; tilo centenario
Friburgo,Colombischlössle,Solo mapeado,"Colombischlössle, Freiburg",Museo,,Castillo victoriano en el parque; único no destruido en la WWII
Friburgo,Barrio Stühlinger,Quizás,"Stühlinger, Freiburg",Barrio,Gratis,Barrio alternativo; murales
Friburgo,Barrio Vauban,Solo mapeado,"Vauban, Freiburg",Barrio,Gratis,Urbanismo sostenible; tejados solares
Friburgo,Campus Universidad,Solo mapeado,"Universität Freiburg, Kollegiengebäude",Sitio,Gratis,Una de las universidades más antiguas de Alemania (1457)
Friburgo,Augustinermuseum,Solo mapeado,"Augustinermuseum, Freiburg",Museo,€12,El museo más importante; renovado feb 2026; esculturas del Münster
Friburgo,Museum Natur und Mensch,Solo mapeado,"Museum Natur und Mensch, Freiburg",Museo,€5,Historia natural y etnología
Friburgo,Uniseum,Quizás,"Uniseum, Freiburg",Museo,Gratis,Historia de la Universidad desde 1457
Friburgo,Kunsthalle Freiburg,Solo mapeado,Kunsthalle Freiburg,Museo,Gratis (patio),Centro de arte contemporáneo
Friburgo,Museum für Stadtgeschichte,Solo mapeado,"Museum für Stadtgeschichte, Freiburg",Museo,~€3,Historia de la ciudad; Wentzingerhaus s.XVIII
Friburgo,Münstermarkt,Quiero ir,"Münstermarkt, Freiburg",Mercado,Gratis,Mercado diario al pie de la catedral; productos de la Selva Negra
Friburgo,Markt Stühlinger,Solo mapeado,"Stühlinger Kirchplatz, Freiburg",Mercado,Gratis,Mercado del barrio alternativo; martes y viernes
Friburgo,Wutachschlucht,Quizás,Wutachschlucht,Trekking,Gratis,La garganta más espectacular de Alemania; 13km; Wanderbus fin de semana
Friburgo,Feldberg + Feldsee,Solo mapeado,"Feldberg, Schwarzwald",Trekking,Gratis,Pico más alto de la Selva Negra (1493m); lago glaciar
Friburgo,Simonswälder Tal,Quizás,"Simonswald, Schwarzwald",Trekking,Gratis,Alternativa a Triberg; cascada Zweribach; 3-4h
Friburgo,Triberg,Quiero ir,Triberger Wasserfälle,Naturaleza,~€5,Las cascadas más famosas de Alemania; origen del reloj cucú
Friburgo,Titisee,Quizás,Titisee,Lago,Gratis,El lago más famoso; 30 min en tren; ir temprano
Friburgo,Schluchsee,Solo mapeado,Schluchsee,Lago,Gratis,El más grande y tranquilo; los locales lo prefieren a Titisee
Friburgo,Staufen im Breisgau,Solo mapeado,Staufen im Breisgau,Pueblo,Gratis,Pueblo de viñedos; bodegas abiertas en vendimia; 15 min en tren
Friburgo,Breisach am Rhein,Solo mapeado,Breisach am Rhein,Pueblo,Gratis,Pueblo sobre el Rin con catedral; 20 min; viñedo del Kaiserstuhl
