ciudad,nombre,prioridad,lat,lng,lugar_busqueda,tipo,precio,notas
Roma,Piazza Venezia,Solo mapeado,41.896245,12.482370,"Piazza Venezia, Roma, Italy",Plaza,,
Roma,Villa Borghese,Solo mapeado,41.914411,12.484844,"Villa Borghese, Roma, Italy",Parque,,
Roma,Museo Palatino,Solo mapeado,41.888304,12.486564,"Museo Palatino, Roma, Italy",Museo,,Historia de la fundación de Roma
Roma,Basílica de Majencio,Solo mapeado,41.891816,12.488417,"Basilica di Massenzio, Roma, Italy",Sitio histórico,,"Está dentro del Foro Romano, no es una iglesia"
Roma,Santa Maria Maggiore,Solo mapeado,41.897627,12.498470,"Basilica di Santa Maria Maggiore, Roma, Italy",Iglesia,,
Roma,Santa Maria della Vittoria,Solo mapeado,41.904719,12.494189,"Santa Maria della Vittoria, Roma, Italy",Iglesia,,"El Éxtasis de Santa Teresa, de Bernini"
Roma,Barrio judío (Ghetto),Solo mapeado,41.893147,12.477071,"Portico d'Ottavia, Roma, Italy",Barrio,,Ver las piedras de la memoria (Stolpersteine)
Roma,Parioli,Solo mapeado,41.931050,12.488590,"Parioli, Roma, Italy",Barrio,,Katia: es tipo Palermo Chico
Roma,Muralla Aureliana,Solo mapeado,41.909053,12.487409,"Mura aureliane, Roma, Italy",Sitio histórico,,Menos turístico; Alan lo hizo con el tour de la Vespa
Roma,Pirámide Cestia,Solo mapeado,41.876449,12.480854,"Piramide di Caio Cestio, Roma, Italy",Sitio histórico,,
Roma,Manufactus,Solo mapeado,41.899829,12.472619,"Manufactus, Roma, Italy",Tienda,,Souvenirs de cuero
Roma,Biblioteca Angelica,Solo mapeado,41.900644,12.474552,"Biblioteca Angelica, Roma, Italy",Sitio histórico,,
Roma,Auditorium Parco della Musica,Solo mapeado,41.929193,12.475128,"Auditorium Parco della Musica Ennio Morricone, Roma, Italy",Teatro,,Zona de la Fiesta del Cine de Roma (15-26 oct). Pasear de noche
Nápoles,Catedral de Nápoles,Solo mapeado,40.852653,14.259870,"Cattedrale di Santa Maria Assunta, Napoli, Italy",Catedral,,
Nápoles,Santa Chiara,Solo mapeado,40.846823,14.252910,"Basilica di Santa Chiara, Napoli, Italy",Iglesia,,Ir al claustro de mayólicas
Nápoles,Gesù Nuovo,Solo mapeado,40.847558,14.251874,"Chiesa del Gesù Nuovo, Napoli, Italy",Iglesia,,Fachada de puntas de diamante
Nápoles,Via San Gregorio Armeno,Solo mapeado,40.849777,14.257981,"Via San Gregorio Armeno, Napoli, Italy",Calle,,La calle de los pesebres
Nápoles,San Lorenzo Maggiore,Solo mapeado,40.850920,14.258040,"Basilica di San Lorenzo Maggiore, Napoli, Italy",Iglesia,,Otro acceso a la Nápoles subterránea
Nápoles,Via Toledo,Solo mapeado,40.841677,14.248754,"Via Toledo, Napoli, Italy",Calle,,
Nápoles,Mural de Maradona,Solo mapeado,40.849694,14.201474,"Murales di Maradona, Napoli, Italy",Sitio histórico,,En los Quartieri Spagnoli
Nápoles,Castel Nuovo,Solo mapeado,40.838317,14.253731,"Castel Nuovo, Napoli, Italy",Castillo,,
Nápoles,Galleria Umberto I,Solo mapeado,40.838514,14.249240,"Galleria Umberto I, Napoli, Italy",Sitio histórico,,
Nápoles,Teatro di San Carlo,Solo mapeado,40.837374,14.249813,"Teatro di San Carlo, Napoli, Italy",Teatro,,teatrosancarlo.it
Nápoles,Palazzo Salerno,Solo mapeado,40.834876,14.249748,"Palazzo Salerno, Napoli, Italy",Palacio,,En la Piazza del Plebiscito
Nápoles,San Francesco di Paola,Solo mapeado,40.835599,14.247336,"Basilica di San Francesco di Paola, Napoli, Italy",Iglesia,,En la Piazza del Plebiscito
Nápoles,Palazzo della Prefettura,Solo mapeado,40.836569,14.248216,"Palazzo della Prefettura, Napoli, Italy",Palacio,,En la Piazza del Plebiscito
Nápoles,Real Bosco di Capodimonte,Solo mapeado,40.874251,14.255113,"Real Bosco di Capodimonte, Napoli, Italy",Parque,,
Nápoles,Piazza Dante,Solo mapeado,40.849156,14.250303,"Piazza Dante, Napoli, Italy",Plaza,,
Nápoles,Vomero,Solo mapeado,40.843846,14.225482,"Vomero, Napoli, Italy",Barrio,,Barrio en la colina; se llega en funicular
