file,ciudad,nombre,lugar_busqueda,tipo,tolerancia_m,dist_m,resuelve_a,veredicto
europa_katia.csv,Roma,Barrio judío (Ghetto),"Ghetto di Roma, Roma, Italy",Barrio,800,41289,"Via del Ghetto, Canale Monterano, Roma Capitale, Lazio, 00066, Italia",FAIL
europa_katia.csv,Roma,Muralla Aureliana,"Mura aureliane, Roma, Italy",Sitio histórico,200,3929,"Mura Aureliane, Viale delle Terme di Caracalla, San Saba, Municipio Roma I, Roma, Roma Capitale, Lazio, 00154,",FAIL
europa_katia.csv,Roma,Basílica de San Pedro,"Basilica di San Pietro in Vaticano, Roma, Italy",Iglesia,150,,,FAIL
europa_katia.csv,Roma,Museos Vaticanos,"Musei Vaticani, Roma, Italy",Museo,150,20916,"Musei Vaticani, Via Leonardo da Vinci, Fiumicino, Roma Capitale, Lazio, 00054, Italia",FAIL
europa_katia.csv,Roma,Via Appia Antica,"Via Appia Antica, Roma, Italy",Sitio histórico,200,914,"Via Appia Antica, Municipio Roma VIII, Roma, Roma Capitale, Lazio, 00014, Italia",FAIL
europa_katia.csv,Roma,Auditorium Parco della Musica,"Auditorium Parco della Musica, Roma, Italy",Teatro,150,,,FAIL
europa_katia.csv,Nápoles,Murales de Vico Totò,"Vico Totò, Napoli, Italy",Sitio histórico,200,,,FAIL
europa_katia.csv,Valle del Soča,Bovec,"Bovec, Slovenia",Pueblo,1500,5152,"Bovec, Slovenija",FAIL
europa_katia.csv,Valle del Soča,Tolmin,"Tolmin, Slovenia",Pueblo,1500,6129,"Tolmin, Slovenija",FAIL
europa_katia.csv,Edimburgo,The Vennel,"The Vennel, City of Edinburgh, UK",Mirador,150,16192,"The Vennel, Scotstoun, City of Edinburgh, Alba / Scotland, EH30 9HW, United Kingdom",FAIL
europa_katia.csv,Londres,Waterloo Bridge,"Waterloo Bridge, Greater London, UK",Puente,150,658,"London Waterloo, The Balcony, South Bank, Waterloo, London Borough of Lambeth, Greater London, England, SE1 8S",FAIL
europa_katia.csv,París,Rue de l'Université,"Rue de l'Université, Paris, France",Calle,400,1390,"Rue de l'Université, Quartier des Invalides, Paris 7e Arrondissement, Paris, Île-de-France, France métropolita",FAIL
europa_katia.csv,Ámsterdam,Prinsengracht,"Prinsengracht, Amsterdam, Netherlands",Paseo,500,1846,"Prinsengracht, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 TH, Nederland",FAIL
europa_katia.csv,Lucerna,Río Reuss,"Reuss, Luzern, Switzerland",Naturaleza,2000,10575,"Reuss, Luzern, Schweiz/Suisse/Svizzera/Svizra",FAIL
europa_katia.csv,Cracovia,Błonia,"Błonia, Kraków, Poland",Parque,600,18907,"Błonie, Wyciąże, Nowa Huta, Kraków, województwo małopolskie, 31-998, Polska",FAIL
