ciudad,nombre,tipo,lugar_busqueda,descripcion,id
Roma,Museo Palatino,Museo,"Museo Palatino, Roma, Italy",Historia de la fundación de Roma,roma--museo-palatino
Roma,Basílica de Majencio,Sitio histórico,"Basilica di Massenzio, Roma, Italy","Está dentro del Foro Romano, no es una iglesia",roma--basilica-di-massenzio
Roma,Santa Maria Maggiore,Iglesia,"Basilica di Santa Maria Maggiore, Roma, Italy",,roma--santa-maria-maggiore
Roma,Santa Maria della Vittoria,Iglesia,"Santa Maria della Vittoria, Roma, Italy","El Éxtasis de Santa Teresa, de Bernini",roma--santa-maria-della-vittoria
Roma,Muralla Aureliana,Sitio histórico,"Mura aureliane, Roma, Italy",Menos turístico; Alan lo hizo con el tour de la Vespa,roma--mura-aureliane
Roma,Pirámide Cestia,Sitio histórico,"Piramide di Caio Cestio, Roma, Italy",,roma--piramide-cestia
Roma,Manufactus,Tienda,"Manufactus, Roma, Italy",Souvenirs de cuero,roma--manufactus
Roma,Biblioteca Angelica,Sitio histórico,"Biblioteca Angelica, Roma, Italy",,roma--biblioteca-angelica
Roma,Auditorium Parco della Musica,Teatro,"Auditorium Parco della Musica Ennio Morricone, Roma, Italy",Zona de la Fiesta del Cine de Roma (15-26 oct). Pasear de noche,roma--auditorium-parco-della-musica
Nápoles,Catedral de Nápoles,Catedral,"Cattedrale di Santa Maria Assunta, Napoli, Italy",,napoles--duomo-di-napoli
Nápoles,Santa Chiara,Iglesia,"Basilica di Santa Chiara, Napoli, Italy",Ir al claustro de mayólicas,napoles--santa-chiara
Nápoles,Gesù Nuovo,Iglesia,"Chiesa del Gesù Nuovo, Napoli, Italy",Fachada de puntas de diamante,napoles--gesu-nuovo
Nápoles,San Lorenzo Maggiore,Iglesia,"Basilica di San Lorenzo Maggiore, Napoli, Italy",Otro acceso a la Nápoles subterránea,napoles--san-lorenzo-maggiore
Nápoles,Mural de Maradona,Sitio histórico,"Murales di Maradona, Napoli, Italy",En los Quartieri Spagnoli,napoles--murales-maradona
Nápoles,Castel Nuovo,Castillo,"Castel Nuovo, Napoli, Italy",,napoles--castel-nuovo
Nápoles,Galleria Umberto I,Sitio histórico,"Galleria Umberto I, Napoli, Italy",,napoles--galleria-umberto-i
Nápoles,Teatro di San Carlo,Teatro,"Teatro di San Carlo, Napoli, Italy",teatrosancarlo.it,napoles--teatro-san-carlo
Nápoles,Palazzo Salerno,Palacio,"Palazzo Salerno, Napoli, Italy",En la Piazza del Plebiscito,napoles--palazzo-salerno
Nápoles,San Francesco di Paola,Iglesia,"Basilica di San Francesco di Paola, Napoli, Italy",En la Piazza del Plebiscito,napoles--san-francesco-di-paola
Nápoles,Palazzo della Prefettura,Palacio,"Palazzo della Prefettura, Napoli, Italy",En la Piazza del Plebiscito,napoles--palazzo-della-prefettura
