ciudad,nombre,prioridad,lat,lng,lugar_busqueda,tipo,precio,descripcion,url,reserva,mejor_momento
Friburgo,Freiburger Münster,Quizás,47.995549,7.852921,"Freiburger Münster, Freiburg im Breisgau, Germany",Catedral,Gratis,"La catedral gótica del s. XIII con la torre más perfecta del mundo según Jacob Burckhardt; la ""linterna"" gótica calada en el campanario es única en Europa; reliquias medievales y vitrales del s. XIII-XIV en el interior; la Münstermarkt al pie cada mañana",,No necesaria,
Friburgo,Altstadt + Bächle,Quiero ir,47.995303,7.852430,"Altstadt, Freiburg im Breisgau, Germany",Casco histórico,Gratis,"El centro medieval reconstruido tras la WWII; los Bächle son acequias de agua que corren por todas las calles desde la Edad Media (control de incendios y abastecimiento); la leyenda dice que si pisás uno por accidente, te casarás con alguien de Friburgo — caminar de 2-3h cubriendo el casco viejo en detalle",,No necesaria,
Friburgo,Schlossberg,Quiero ir,47.997494,7.867552,"Schlossberg, Freiburg im Breisgau, Germany",Mirador,Gratis,La colina boscosa sobre la ciudad; el mirador más accesible con vistas sobre los tejados y el campanario del Münster; subida a pie (20min) o en funicular (Schlossbergbahn); ruinas del antiguo castillo arriba; cafés en la cima,,No necesaria,
Friburgo,Martinstor,Quizás,47.993714,7.848947,"Martinstor, Freiburg im Breisgau, Germany",Sitio histórico,Gratis,Las dos puertas medievales del s. XIII que sobrevivieron las bombas de WWII; el Martinstor con McDonalds en el arco es el cruce más paradójico de la ciudad,,No necesaria,
Friburgo,Schwabentor,Quizás,47.992899,7.854124,"Schwabentor, Freiburg im Breisgau, Germany",Sitio histórico,Gratis,Las dos puertas medievales del s. XIII que sobrevivieron las bombas de WWII; el Martinstor con McDonalds en el arco es el cruce más paradójico de la ciudad,,No necesaria,
Friburgo,Rathausplatz,Quizás,47.996217,7.849349,"Rathausplatz, Freiburg im Breisgau, Germany",Plaza,Gratis,El corazón administrativo de Friburgo; el Neues Rathaus y el Altes Rathaus conectados por un puente del s. XX; el tilo centenario en el centro,,No necesaria,
Friburgo,Colombischlössle,Solo mapeado,47.997746,7.845955,"Colombischlössle, Freiburg im Breisgau, Germany",Museo,,El pequeño castillo victoriano en el parque; el único edificio que no fue destruido en los bombardeos de WWII del barrio histórico . No lo encontré en maps,https://museen.freiburg.de/your-visit,Recomendada,
Friburgo,Barrio Stühlinger,Quizás,47.998880,7.837732,"Stühlinger, Freiburg im Breisgau, Germany",Barrio,Gratis,"El barrio alternativo al otro lado de la estación; murales, cafés de estudiantes, mercados de segunda mano; la versión underground de Friburgo",,No necesaria,
Friburgo,Barrio Vauban,Solo mapeado,47.976365,7.823605,"Vauban, Freiburg im Breisgau, Germany",Barrio,Gratis,El barrio de urbanismo sostenible más famoso de Alemania; 5000 habitantes con energía pasiva o positiva; coches prohibidos en calles residenciales; los tejados cubiertos de paneles solares; visitarlo es entender el futuro de la ciudad europea,,No necesaria,
Friburgo,Augustinermuseum,Solo mapeado,47.993806,7.853250,"Augustinermuseum, Freiburg im Breisgau, Germany",Museo,€12,El museo más importante de Friburgo; inauguró salas nuevas en febrero 2026 tras renovación; colección de arte del Alto Rin del s. XII-XIX; las esculturas originales del Münster (las copias están en la fachada) y los primitivos alemanes son lo más valioso,,,
Friburgo,Museum Natur und Mensch,Solo mapeado,47.993330,7.851602,"Museum Natur und Mensch, Freiburg im Breisgau, Germany",Museo,€5,"Historia natural y etnología; colecciones de ciencias naturales de la región y objetos de África, Asia y Oceanía; el museo de los escolares de Friburgo, sorprendentemente bien curado",,,
Friburgo,Uniseum,Quizás,47.995414,7.848619,"Uniseum, Freiburg im Breisgau, Germany",Museo,Gratis,La historia de la Universidad de Friburgo desde 1457; en el edificio histórico del rectorado; exposición muy completa sobre los orígenes del conocimiento en la región,,No necesaria,
Friburgo,Museum für Stadtgeschichte,Solo mapeado,47.994970,7.853131,"Museum für Stadtgeschichte, Freiburg im Breisgau, Germany",Museo,€3,En el Wentzingerhaus del s. XVIII; historia de Friburgo desde la fundación hasta hoy,,,
Friburgo,Münstermarkt,Quiero ir,47.995830,7.852804,"Münstermarkt, Freiburg im Breisgau, Germany",Mercado,Gratis,"El mercado diario al pie de la catedral; productos de la Selva Negra (Schwarzwälder Kirschtorte, miel, jamón, quesos, vinos de Baden); el mercado más bonito de toda la región — lunes a sábado 7h-13:30h; los sábados son los más completos",,No necesaria,
Friburgo,Markt Stühlinger,Solo mapeado,47.996877,7.837793,"Stühlinger Kirchplatz, Freiburg im Breisgau, Germany",Mercado,Gratis,El mercado del barrio alternativo; más local y menos turístico que el Münstermarkt; martes y viernes,,No necesaria,
Friburgo,Wutachschlucht,Quizás,47.860882,8.283470,"Wutachschlucht, Freiburg im Breisgau, Germany",Trekking,Gratis,"La garganta más espectacular de Alemania; el ""Gran Cañón"" de la Selva Negra; 13km de trekking entre cascadas, paredes de roca y bosque primario; el recorrido clásico es de 4-5h; usar el Wanderbus para resolver la logística de punto a punto (sin necesidad de volver al inicio) — opera fines de semana y festivos de abril a principios de octubre",,No necesaria,
Friburgo,Feldberg + Feldsee,Solo mapeado,47.873991,8.004674,"Feldberg, Freiburg im Breisgau, Germany",Trekking,Gratis,El pico más alto de la Selva Negra (1493m); vistas hacia los Alpes en días claros; el Feldsee es el lago glaciar a los pies del pico; subida fácil desde el parking o en bus; en septiembre los arándanos están en sazón,,No necesaria,
Friburgo,Triberg,Quiero ir,48.126356,8.227647,"Triberger Wasserfälle, Freiburg im Breisgau, Germany",Naturaleza,€5,"Las cascadas más famosas de Alemania y el origen del reloj cucú; turístico pero genuino — ""si esperás naturaleza pura sin turistas, Triberg no es el lugar; si lo tomás como curiosidad cultural con las cascadas como bonus, cumple"" (r/germany)",,No necesaria,
