new_id,nombre_nuevo,nombre_existente,area_key,regla,score,dist_m,accion
berna--simsonbrunnen,Simsonbrunnen,Kramgasse,berna,F,0.0,,drop
budapest--biblioteca-nacional,Biblioteca Nacional Széchényi,Széchenyi,budapest,C,100.0,,drop
budapest--gellert-termas,Balneario Gellért,Colina Gellért (Gellért-hegy),budapest,C,100.0,,drop
colmar--place-ancienne-douane,Place de l'Ancienne Douane,Fontaine Roesselmann,colmar,A,100.0,,drop
colmar--maison-adolph,Maison Adolph,Maison Pfister,colmar,E,0.0,11.5,drop
cracovia--sukiennice,Lonja de los Paños (Sukiennice),"Galería de Arte Polaco del s. XIX (Sukiennice, planta alta)",cracovia,A,100.0,,drop
cracovia--torre-ayuntamiento,Torre del Antiguo Ayuntamiento,Stare Miasto,cracovia,F,0.0,,drop
edimburgo--royal-mile,Royal Mile,Old Town,edimburgo,A,100.0,,drop
edimburgo--water-of-leith,Water of Leith,Leith,edimburgo,C,100.0,,drop
estrasburgo--tribunal-ddhh,Tribunal Europeo de Derechos Humanos,Palais des Droits de l'Homme,estrasburgo,A,100.0,,drop
highlands--ben-nevis-inn,Ben Nevis Inn,Ben Nevis,fort_william,C,100.0,,drop
highlands--glenfinnan-viewpoint-east,Glenfinnan Viaduct Viewpoint (East),Glenfinnan Viaduct,glenfinnan,C,100.0,,drop
grindelwald--iglesia,Iglesia de Grindelwald,Grindelwald pueblo,grindelwald,B,100.0,,drop
innsbruck--stadtturm,Stadtturm,Antiguo Ayuntamiento,innsbruck,F,0.0,,drop
interlaken--thun,Thun,Spiez (Lago de Thun),interlaken,C,100.0,,drop
londres--london-bridge,London Bridge,Tower of London,londres,B,100.0,,drop
piran--tartinijev-trg,Plaza Tartini,Piran,piran,F,0.0,,drop
praga--stare-mesto,Staré Město (Ciudad Vieja),Plaza de la Ciudad Vieja (Staroměstské náměstí),praga,C,100.0,,drop
praga--zizkov-tower,Torre de Televisión de Žižkov,Žižkov,praga,C,100.0,,drop
praga--torre-petrin,Torre de Petřín,Colina Petřín,praga,E,0.0,11.1,drop
soca--rio-soca,Río Soča,Valle del Soča,soca,B,100.0,,drop
viena--gloriette,Gloriette,Schönbrunn — jardines y Gloriette,viena,A,100.0,,drop
amsterdam--centrum,Centrum (Old Centre),Amsterdam Museum,amsterdam,D,78.79,,review
amsterdam--noord,Amsterdam-Noord,Amsterdam Museum,amsterdam,D,75.0,,review
amsterdam--koninklijk-paleis,Palacio Real de Ámsterdam,Amsterdam Museum,amsterdam,D,72.0,,review
amsterdam--waterlooplein,Waterlooplein Market,Rembrandt House,amsterdam,E,0.0,83.2,review
